Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Bribery incidence (percent of firms experiencing at least one bribe payment request),Bribery depth (% of public transactions where a gift or informal payment was requested),Percent of firms expected to give gifts in meetings with tax officials,Percent of firms expected to give gifts to secure government contract,Percent of firms expected to give gifts to get an operating license,Percent of firms expected to give gifts to get an import license,Percent of firms expected to give gifts to get a construction permit,Percent of firms expected to give gifts to get an electrical connection,Percent of firms expected to give gifts to get a water connection,"Percent of firms expected to give gifts to public officials ""to get things done""",Percent of firms identifying corruption as a major or very severe constraint,Real annual sales growth (%),Annual employment growth (%),Real annual labor productivity growth (%),Percent of firms buying fixed assets,Capacity utilization (%)*,Age of the establishment (years),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of private domestic ownership in a firm (%),Percent of firms with legal status of Sole Proprietorship,Senior management time spent dealing with the requirements of government regulation (%),Days to obtain an operating license,[B-READY] Days to obtain a construction-related permit [median],Days to obtain an import license,[B-READY] Days to receive payment under government contract,[B-READY] Percent of firms visited or inspected for health or safety,[B-READY] Percent of firms with a report issued for health or safety inspection,Percent of firms identifying business licensing and permits as a major or very severe constraint,Percent of firms identifying access to land as a major or very severe constraint,[B-READY] Perceptions index of access to land as a constraint,[B-READY] Percent of firms offering formal training over last fiscal year,Proportion of workers offered formal training over last fiscal year (%)*,Years of the top manager's experience working in the firm's sector,Percent of firms where the largest owner is also the top manager,Number of permanent full-time equivalent workers,"Proportion of permanent workers, out of all permanent full-time equivalent workers","Proportion of production workers, out of all permanent workers*","Proportion of skilled workers, out of all permanent production workers (%)*",Proportion of permanent full time workers that completed high school,[B-READY] Weeks to dismiss a full-time permanent worker,[B-READY] Weeks paid in severance,[B-READY] Percent of firms involved in labor dispute over last 3 years,[B-READY] Months to resolve labor dispute,Percent of firms identifying labor regulations as a major or very severe constraint,[B-READY] Perceptions index of labor regulations as a constraint,Percent of firms identifying an inadequately educated workforce as a major or very severe constraint,Management practices index,Score on action when a problem arose,Score on number of performance indicators monitored,Score on time focus of production/service provision targets,Score on achievability of production/service provision targets,Score on knowledge of production/service provision targets,Score on basis of managers' performance bonuses,Score on extent to which non-managers are promoted based on performance,Score on extent to which under-performing non-managers are reassigned or dismissed,Percent of firms competing against unregistered or informal firms,Percent of firms formally registered when they started operations,Number of years firm operated without formal registration,Percent of firms identifying practices of competitors in the informal sector as a major or very severe constraint
Czechia,2019,Location,NA,North,Average,0,0,0,3.3,0,NA,0,0,NA,5.5,11.9,-0.7,0.2,-0.9,55.3,83.1,19.1,2.7,0,97.3,21,13.9,4.7,120,NA,NA,NA,NA,3.9,16.7,80.1,41.5,32.8,26.8,NA,30.4,94.7,74.1,73.1,67.1,NA,NA,NA,NA,15.9,65.2,29.9,59.4,77,60.4,76.7,68.3,61.8,29.9,47.3,46.3,26.8,95.9,0.6,24.3
Czechia,2019,Location,NA,South,Average,0.6,0.2,0,25.4,0,NA,1.7,0,NA,34.3,10.2,5.9,3,3,78.8,76.1,20.1,12.5,0,89,22.6,14.8,23.7,90,NA,NA,NA,NA,0.5,6.7,85.6,36.3,45.6,24.5,NA,28.6,94.9,74.9,66.6,66.6,NA,NA,NA,NA,8.9,60.7,27.8,62.4,77.1,62,83.3,59,64.9,45.4,63.3,58.8,25.1,99.8,0,18.3
Czechia,2019,Ownership Type,NA,10% or more foreign ownership,Average,0,0,0,0,NA,NA,0,0,NA,18.2,12.1,6.8,4.3,2.5,66.2,74.3,19.4,100,0,20.1,3.5,10.5,NA,90,NA,NA,NA,NA,5.9,14.3,80.7,44.8,37.5,23.4,NA,96.5,98.8,72.2,57.3,56.1,NA,NA,NA,NA,8.6,65.2,30.8,68,73.9,64.2,90.7,76.9,66,40.6,78.8,51,5.8,97.4,1.1,2.5
Czechia,2019,Ownership Type,NA,Domestic,Average,3.8,1.6,0,8.8,0.4,0,10.8,0,0,20,11.5,3.6,1.9,1.7,66.2,78.9,19.1,0,0,100,22.4,13.4,35.1,100,25,NA,NA,NA,4,15.3,80,43.5,55.4,25.8,NA,23.5,94.4,73,74.5,65,NA,NA,NA,NA,14,63.8,31.8,57.8,75.9,55.7,73.1,64.4,62.5,29.7,51.1,51.4,25.9,97.7,0.1,17.3
Czechia,2019,Sector,Manufacturing,All,Average,0.4,0.2,0,12.2,2.2,0,0.3,0,NA,19.3,8.9,2.8,1.6,1.4,72.7,78.4,19.9,12.2,0,88.3,12.9,12.4,26.4,90,14.6,NA,NA,NA,7.6,16.5,80,38.8,51.6,25,NA,52.2,97.2,72.9,72.7,51.8,NA,NA,NA,NA,13.7,64,33.5,59.5,74.6,59.1,80.3,66.7,65.4,32,48.3,46.4,19,97.7,0.4,12.6
Czechia,2019,Sector,Manufacturing,Manufacturing,Average,0.4,0.2,0,12.2,2.2,0,0.3,0,NA,19.3,8.9,2.8,1.6,1.4,72.7,78.4,19.9,12.2,0,88.3,12.9,12.4,26.4,90,14.6,NA,NA,NA,7.6,16.5,80,38.8,51.6,25,NA,52.2,97.2,72.9,72.7,51.8,NA,NA,NA,NA,13.7,64,33.5,59.5,74.6,59.1,80.3,66.7,65.4,32,48.3,46.4,19,97.7,0.4,12.6
Czechia,2019,Sector,Services,All,Average,4.8,2.1,0,7.4,0,NA,18.9,0,0,20.1,12.5,4.2,2.3,1.9,63.7,NA,18.8,4.6,0,97,24.3,13.5,34.3,128,NA,NA,NA,NA,2.9,14.7,80.1,45.4,NA,25.9,NA,19.2,93.7,NA,NA,70.1,NA,NA,NA,NA,13.6,63.8,31.1,59.7,76.5,55,71.5,66.2,60.8,30.9,62.6,56.5,26.7,97.6,0.1,17.7
Czechia,2019,Sector,Services,Other Services,Average,5.1,2.2,0,7.8,0,NA,20.3,0,0,22,11.8,4.3,2.1,2.3,64.3,NA,18.5,4.3,0,97.2,22.7,13.2,37.2,120,NA,NA,NA,NA,2.8,16.7,78.5,47.8,NA,25.8,NA,18.6,93.5,NA,NA,67.3,NA,NA,NA,NA,13.4,64.7,31.5,61.2,78.6,55.6,71.9,66.1,62.1,32.4,65.9,58,28.6,97.4,0.1,18.6
Czechia,2019,Sector,Services,Retail,Average,3.6,1.2,0,3.2,0,NA,12.7,0,NA,11,16.1,3.6,3.6,0.1,61,NA,20.3,6.4,0,96.1,32.5,14.6,26.8,128,NA,NA,NA,NA,3.4,4.3,88.1,33.6,NA,26.1,NA,22.6,94.6,NA,NA,82.6,NA,NA,NA,NA,14.1,59,29.1,51,63.4,50.9,68.7,66.7,51.9,20.9,40.4,47.8,17,98.7,0.3,13.1
Czechia,2019,Size,NA,Large (100+),Average,0,0,0,8,0,0,0,0,NA,10.6,9.3,3.1,2.6,0.4,94.9,81.8,26.8,39.6,0,61.8,6.1,9.3,45,90,9.8,NA,NA,NA,3.7,44.4,58.1,60.2,37.3,24.8,NA,286.2,98.1,70.9,54.2,50.2,NA,NA,NA,NA,9.4,58.4,40.6,69.4,76.4,67.9,85,73.7,72.1,43.5,72.5,61.1,14.3,96.3,1.9,8.7
Czechia,2019,Size,NA,Medium (20-99),Average,7.4,3,0,1.3,0,NA,15,0,0,14.4,5.4,4.4,4.2,0.3,74.7,78.3,19.7,9.7,0,93.5,7.7,12.3,29.3,100,NA,NA,NA,NA,5.3,15.7,81.3,57.3,56.1,25.5,NA,36,91.1,74.3,67,58.7,NA,NA,NA,NA,16,64.6,24.3,57,75.3,54.6,73.8,64.8,61,28.7,51.7,48.8,24.4,100,0,15.1
Czechia,2019,Size,NA,Small (5-19),Average,2.1,1,0,11.1,0.5,NA,9.3,0,NA,22.1,13.4,3.7,1.4,2.3,61.7,77.6,18.5,3.7,0,97.1,26.3,13.7,33.7,120,NA,NA,NA,NA,3.8,13.2,81.1,38.2,53,25.7,NA,9.3,95.6,72.3,80.7,71.4,NA,NA,NA,NA,13.1,64,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,97,0.1,17.2
Czechia,2019,NA,NA,NA,Average,3.5,1.5,0,8.5,0.3,0,9.9,0,0,19.9,11.5,3.8,2.1,1.8,66.2,78.4,19.1,6.7,0,94.6,21.1,13.2,33.1,100,24.3,NA,NA,NA,4.2,15.2,80.1,43.6,51.6,25.6,NA,28.4,94.7,72.9,72.7,63.9,NA,NA,NA,NA,13.6,63.9,31.8,59.6,75.5,57.1,75.9,66.4,63.1,31.5,55.5,51.3,24.6,97.7,0.2,16.3
Denmark,2020,Exporter Type,NA,Direct exports are 10% or more of sales,Average,0.5,0.2,0,4.9,0,0.4,0,0.8,0,1.7,1.6,6,4.8,1.6,54.2,70.1,37.5,27.6,0.2,78.3,0.4,5.1,43.6,60,43.3,NA,NA,NA,3.6,4.8,91.8,43.7,28.7,25.7,60.5,131.5,99.1,56.8,62.9,64.8,NA,NA,NA,NA,0.2,85.3,9.7,63.6,82.1,67.7,66.9,55.5,64.5,37,78.5,58.1,16,87.2,3,2.9
Denmark,2020,Exporter Type,NA,Non-exporter,Average,5,3.9,0,0,0,0,0.2,6,12.9,0.7,3.2,2.6,5.2,-2.1,62.6,73.5,36.2,9.8,0,90.2,6.5,6.1,153.4,60,6.7,NA,NA,NA,3.9,9.3,87,39.3,14.1,27.5,82,28.8,97.3,62.6,69.3,54.8,NA,NA,NA,NA,3.4,82.6,13.8,55,69.4,43,59.5,45.9,56,26.5,61.3,53,34.9,88.7,5.8,7.9
Denmark,2020,Gender of Top Manager,NA,Top manager is female,Average,23.4,23.4,0,0,NA,NA,0,53.4,NA,2,2.6,4.4,7.4,-4,57.1,69,56.8,15.8,0,85.1,7,5.4,NA,28,NA,NA,NA,NA,6.3,11,83.7,53.3,8.5,24.5,92.4,21.4,94.8,60.6,78.6,78.6,NA,NA,NA,NA,3.4,85.6,4.7,55.6,62,52,53.7,47.6,52.4,25.8,73.2,50.7,29.4,91.4,6.1,4.3
Denmark,2020,Gender of Top Manager,NA,Top manager is male,Average,1.7,0.9,0,1.4,0,0.2,0.1,0.3,9.5,0.9,2.7,3.4,4.9,-0.8,60.6,71.2,35,14.9,0.1,86.8,4.6,5.9,120.3,60,25.9,NA,NA,NA,3.7,7.8,88.8,39.8,25.2,27.2,74.2,62.1,98.1,59.8,65.9,56.2,NA,NA,NA,NA,2,83.4,13,59.2,76,53.9,63.4,50.2,60.1,31.3,68.3,55.8,28.9,87.9,4.9,6.8
Denmark,2020,Location,NA,Hovedstaden,Average,0,0,0,3.7,0,0,0,0,0,1.6,2.9,2,7,-3.3,55.8,63.5,39.2,25.4,0,77.2,0.7,7.3,NA,60,51.7,NA,NA,NA,4.9,8.5,87.4,51.2,16.9,24.9,70.5,92.8,98.1,51.2,65.9,68.1,NA,NA,NA,NA,5.1,81.7,13.4,61.2,74.8,58.8,68.1,59.6,65.3,33.9,71.2,44.2,20.1,87.8,6.8,4
Denmark,2020,Location,NA,Midtjylland,Average,0.5,0.2,0,0,0,0,0,1.1,0,1.5,3.7,4.1,2.3,1.9,68.6,74.6,36.1,6.6,0,91.9,7.3,4.9,20.7,60,18.4,NA,NA,NA,5.4,8.8,88.8,33.9,20.3,26.6,79.1,52.2,98.2,61,61.3,53.5,NA,NA,NA,NA,1.5,82.4,14.8,59.2,71.4,53.9,62.8,43.1,56.9,29,74.7,60,38.5,88,5.4,6.7
Denmark,2020,Location,NA,Nordjylland,Average,0.7,0.4,0,0,0,0,1.8,0,0,0,0.3,3.3,1.2,1.7,61.8,72.8,29.2,9.8,0.2,90.2,15,4.9,19.5,60,6.9,NA,NA,NA,2.6,4.1,92,30.7,38.9,27.6,77.5,39.1,96.1,72.1,60.4,56,NA,NA,NA,NA,0.4,86.1,5.9,64.9,72,59.8,76.3,59.1,69.5,41.4,67.1,59.1,28.9,94.3,0.8,3.7
Denmark,2020,Location,NA,Sjælland,Average,11.1,5.5,0,0,0,0,0,0,38.3,0.3,5.2,4.9,8.5,-3.6,56.6,78,32.9,5.7,0,95.9,6,5.9,NA,60,18.6,NA,NA,NA,4.4,11.7,84.8,43.8,28.5,29.3,81.2,33.5,97.6,71.9,80,44.6,NA,NA,NA,NA,3,79,15.4,56.4,75.6,40,67.9,51.6,58.9,23.3,60.7,54.7,34,85.2,3.6,9
Denmark,2020,Location,NA,Syddanmark,Average,7.9,7.9,0,0,0,1,0,11.2,0,0.5,1,4,5.4,-1.3,59,71.6,39,16.4,0.2,88.2,2.4,5.1,39.3,30,16.5,NA,NA,NA,0.9,6,89.9,35.2,23.5,28.8,76,38.1,98,55.2,66.5,54.2,NA,NA,NA,NA,0.2,88,10.7,55.2,78.7,52.9,49.2,42,52.5,29.2,65.2,62.6,30.8,87.9,4.7,9.9
Denmark,2020,Ownership Type,NA,10% or more foreign ownership,Average,0.4,0.2,0,0,0,0,1.1,0,0,0.2,3,5.6,8,-2.1,54.1,75.5,36.8,100,0.2,15.4,0.1,6.7,340.1,30,37.8,NA,NA,NA,0.9,11.4,88.5,59,24.4,20.3,25.6,124.1,98.3,49.5,64.1,71.5,NA,NA,NA,NA,5.1,82.8,11.2,61.8,75.6,65.5,60.9,53,60.5,36,73.4,47.3,13.2,85.9,2.8,4.6
Denmark,2020,Ownership Type,NA,Domestic,Average,4.2,3.2,0,1.7,0,0.3,0,5,10.7,1.2,2.7,3.2,4.7,-0.9,61.5,70.7,36.5,0,0,99.2,5.7,5.7,24.8,60,23,NA,NA,NA,4.4,7.5,88.5,36.4,23,28.1,85.4,37.3,97.7,61.6,66.2,55.4,NA,NA,NA,NA,2,83.8,13.1,56.3,74.7,46.9,61.6,46.8,58.4,26,65.4,59.3,32.8,88.5,5.4,7
Denmark,2020,Sector,Manufacturing,All,Average,5.1,2.6,0,0,0,0.4,0.4,1,24.1,1.1,3.1,4.2,4.1,1.2,58.3,71.6,39.2,20.5,0.1,81.7,2.7,5.4,67.6,60,21.5,NA,NA,NA,3.9,4.2,91.8,31.3,23.6,24.6,68.5,108,98.3,59.5,65.7,41.4,NA,NA,NA,NA,1.4,83,13.7,60.9,79,60,63.7,53.1,62.2,27.2,62.8,64,21.2,82.5,6.3,6.4
Denmark,2020,Sector,Manufacturing,Fabricated Metal Products,Average,0,0,0,0,NA,0,0,0,NA,0,2,0.8,0.4,1.5,61.8,75.8,38.3,13.9,0.5,87.6,1.5,3.9,NA,21,NA,NA,NA,NA,1.5,8.8,90.5,40.7,41.5,19.7,59.9,54.9,98.6,66.1,76.5,43.5,NA,NA,NA,NA,1.5,86.5,8.9,57.1,87.5,68.4,54,58.2,78.8,18.7,62.2,70.5,11.3,88.2,7.9,4.8
Denmark,2020,Sector,Manufacturing,Food,Average,0,0,0,0,0,0,0,0,0,5.2,0,5.5,5.9,-0.6,58.8,67.7,50.7,15.8,0,85.5,1.8,6.5,77.5,40,31.2,NA,NA,NA,2.6,5.4,92.1,25,24.4,25.2,73.9,83,94.6,56.2,49.5,44,NA,NA,NA,NA,2.6,81.8,7.3,56.7,78.7,48.6,56.8,50.3,46.5,15.6,73.4,52.3,19.3,86.5,14.4,3.4
Denmark,2020,Sector,Manufacturing,Machinery & Equipment,Average,0,0,0,0,NA,0,0,0,0,0,7.9,8.1,4.9,4.2,47.3,70.9,36.8,17.1,0.5,83.2,0.9,6.1,NA,30,18.4,NA,NA,NA,7.1,3,96.4,39.7,20.7,21.2,55.5,121.6,99.6,47.9,78.8,34.3,NA,NA,NA,NA,0.6,86.6,20.8,63.9,75.8,64.4,63.8,45.4,61.1,37.2,41.1,61.9,8.5,76.7,9.8,4.3
Denmark,2020,Sector,Manufacturing,Non-Metallic Mineral Products,Average,2.5,1.2,NA,0,NA,NA,3.1,0,0,0,0,5.5,3.6,2,86.7,71.5,65.1,20,0,80,0,4.7,NA,60,NA,NA,NA,NA,5.6,12.8,77.1,42.6,26.8,23.5,66.8,91.1,97.3,65.3,53.3,36.1,NA,NA,NA,NA,1.7,82.7,1.7,68.9,84.3,77.8,81.5,60.2,69.6,33.1,87.3,67.9,7.7,83.1,5.1,0
Denmark,2020,Sector,Manufacturing,Other Manufacturing,Average,9.5,4.7,0,0,0,0.7,0,2.2,37.5,0.8,2.6,3.1,4.2,0.5,58.8,72.7,35.6,24,0,79.4,3.8,5.2,75,90,22.8,NA,NA,NA,3.3,2.8,91.6,27.4,19.3,26.5,73.9,120.5,98.6,64,65.4,43.5,NA,NA,NA,NA,1.2,81.5,14.3,60.8,77.4,57.4,66,55.3,61.5,26.6,67.3,65.6,28.7,82.9,3.1,8.5
Denmark,2020,Sector,Manufacturing,Rubber & Plastics Products,Average,0,0,0,NA,NA,NA,0,0,NA,3,0,4.1,2.3,1.7,79.1,68.2,44.2,17.6,0,84,5.1,4,NA,45,NA,NA,NA,NA,2,10.6,85.7,29.7,27,23.5,61.7,48,99,66.6,49.8,48,NA,NA,NA,NA,5.8,82.2,9.1,63.8,86.4,68.3,68.8,53.4,69.1,30.2,69.2,58.4,21.4,84.8,4.5,2.2
Denmark,2020,Sector,Services,All,Average,2.6,2.6,0,1.8,0,0,0,5.4,0,1,2.5,3.3,5.5,-1.9,61,NA,35.6,12.7,0,88.7,5.5,6,128.3,60,28.8,NA,NA,NA,3.8,9.4,87.1,44,NA,27.9,78.5,40.1,97.7,NA,NA,64.3,NA,NA,NA,NA,2.8,83.5,12.2,57.5,72.1,49.9,62.1,48.1,57.9,33.2,72.4,49.6,32.5,90.4,4.5,6.6
Denmark,2020,Sector,Services,Other Services,Average,0,0,0,2.1,0,0,0,0,0,1.4,1.3,3.7,4,0,62,NA,33.1,13.9,0,87.8,2.3,6.2,152,60,36.1,NA,NA,NA,2.4,9.2,88.1,48.9,NA,28.1,74.1,44.7,97.8,NA,NA,59.6,NA,NA,NA,NA,2.4,84.6,10.3,56.5,71.8,50.2,61.9,46,56.3,33.2,68,51.4,33.3,88.5,4.3,7.8
Denmark,2020,Sector,Services,Retail,Average,9.5,9.5,NA,0,NA,0,0,14.8,NA,0,5.2,2.3,8.6,-6.3,58.8,NA,41,10.4,0,90.7,12.5,5.6,NA,90,10.6,NA,NA,NA,6.9,9.8,85.1,33.6,NA,27.4,87.9,30.2,97.3,NA,NA,74.7,NA,NA,NA,NA,3.8,81.1,16.3,60.9,73,48.9,62.8,55.7,63.9,33.1,88.3,43.8,30.7,94.5,4.7,3.9
Denmark,2020,Size,NA,Large (100+),Average,0,0,0,0,0,0,0,0,0,0,1.4,5.4,4.1,1.2,72.7,74.9,52.3,55.5,0.2,49,1.1,6.2,35,60,39.3,NA,NA,NA,2,3.1,91.6,78.3,26.3,23.7,23,679.8,96.6,58.2,52.4,68.9,NA,NA,NA,NA,0.1,77.1,4.1,75.3,81.4,75.9,78.5,72.5,78.1,48.5,88.6,58.6,12.7,90.5,2.8,0.8
Denmark,2020,Size,NA,Medium (20-99),Average,4.6,2.3,0,0,0,1,0.3,0.8,36,0.3,1,6.5,7.7,-1.3,59.1,71.9,36.7,21.2,0.1,80.5,1.1,6.6,474.5,42,14.3,NA,NA,NA,1.2,11.1,85.9,57,24.2,25.2,64.4,39.5,97.1,57.8,67.6,60.5,NA,NA,NA,NA,4.3,80.9,12.4,54.7,73.5,48.7,59.2,45,55.4,26.9,64.1,54.5,23.1,83.7,4.8,1.9
Denmark,2020,Size,NA,Small (5-19),Average,3.5,3.5,0,2.5,0,0,0,7.4,0,1.4,3.5,2.2,4.1,-1.2,59.6,70.4,35.1,9.1,0,92.3,6.6,5.5,22.8,60,29,NA,NA,NA,5.1,7.2,89.1,30.5,20.2,28,85.3,9.2,98.2,61.2,67.5,55.9,NA,NA,NA,NA,1.9,84.9,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,89.8,5.2,8.9
Denmark,2020,NA,NA,NA,Average,3.4,2.6,0,1.3,0,0.2,0.1,4.1,9.5,1,2.7,3.5,5.1,-1.1,60.2,71.6,36.6,14.9,0.1,86.8,4.8,5.8,119.9,60,25.9,NA,NA,NA,3.8,8,88.4,40.6,23.6,27,75.8,58.4,97.8,59.5,65.7,58.1,NA,NA,NA,NA,2.5,83.4,12.6,58.9,75,53.7,62.7,50,59.6,30.9,68.6,55.4,29.4,88.2,5,6.5
Djibouti,2013,Exporter Type,NA,Direct exports are 10% or more of sales,Average,13.5,9.5,0,NA,0,5.5,NA,NA,NA,10.5,35,NA,NA,NA,49.4,NA,17.3,22.8,0,80.1,68.5,7.3,5.1,NA,7.8,NA,NA,NA,4.8,19.5,74,29.5,NA,21.3,NA,47.5,96.5,NA,NA,NA,NA,NA,NA,NA,8.7,86.8,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,100,0,16.3
Djibouti,2013,Exporter Type,NA,Non-exporter,Average,11.7,8.9,4.4,53.7,0,15,21.4,15.5,6.8,12.3,40.4,0.1,6.5,-1.6,36.2,50.8,15.8,10.1,1.1,91,78.4,5.2,9.2,30,8,NA,NA,NA,13.6,14.9,68.9,18.7,NA,16.7,NA,31.8,95,77.2,62.3,NA,NA,NA,NA,NA,15.9,73.5,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,98.7,0.1,23.2
Djibouti,2013,Gender of Top Manager,NA,Top manager is female,Average,14.1,11.7,6.5,NA,0,9.1,0,30,NA,12.6,24.5,NA,5.6,NA,26,NA,15.5,16.8,2.1,85.2,85.2,8.1,NA,NA,4.7,NA,NA,NA,6.6,10.1,73.9,23.2,NA,16.4,NA,30,96.1,60.1,61.2,NA,NA,NA,NA,NA,7.5,84.7,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,97.9,0,12.3
Djibouti,2013,Gender of Top Manager,NA,Top manager is male,Average,10.6,7.8,2.7,49.3,0,12.7,24.5,13.1,17.9,12,41.6,0.4,6.6,-2.1,41.8,51.3,15.8,12.2,0.6,89.3,74.3,4.9,8.9,30,8.1,NA,NA,NA,13.1,16.1,69.3,21.5,NA,17.7,NA,40,94.8,80.4,61.8,NA,NA,NA,NA,NA,15.6,74.1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,98.6,0.1,23
Djibouti,2013,Location,NA,Djibouti City,Average,11.1,8.4,3.4,43.3,0,12.3,19.9,17.2,15.4,12.1,39.2,0.1,6.4,-3.1,39.5,52.6,15.8,12.8,0.9,88.7,75.9,5.3,8.8,15,7.7,NA,NA,NA,12.2,15.2,70,21.8,NA,17.5,NA,38.6,95,76.2,61.6,NA,NA,NA,NA,NA,14.5,75.6,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,98.5,0.1,21.5
Djibouti,2013,Ownership Type,NA,10% or more foreign ownership,Average,12.5,9.6,0,NA,0,0,NA,NA,NA,11.5,24.7,NA,NA,NA,56.5,NA,13.7,100,2.4,17.6,34.5,9.3,11.4,NA,4.6,NA,NA,NA,15.3,6.3,84.7,25.6,NA,20.4,NA,55.6,94.3,NA,NA,NA,NA,NA,NA,NA,12.1,75.2,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,95.6,0.1,13.1
Djibouti,2013,Ownership Type,NA,Domestic,Average,10.8,8.4,3.9,42.6,0,13.9,27.1,0,13.8,12.2,42.2,1.2,6.5,-1.8,35.5,50.8,16.2,0,0.6,99.2,83.3,4.9,8.4,30,8.2,NA,NA,NA,11.7,16.5,67.8,20.3,NA,17.1,NA,33.3,95,77.3,60.3,NA,NA,NA,NA,NA,15.5,75.4,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,98.8,0.1,22.9
Djibouti,2013,Sector,Manufacturing,All,Average,11.6,8.7,3.3,NA,0,7.3,NA,9.5,13,19.1,26.6,NA,7,NA,45.8,52.6,15.5,8.3,1.4,93.5,74.9,6,10.9,NA,5.7,NA,NA,NA,9.2,12.3,70.4,15.9,NA,18.2,NA,16,95.5,76.2,61.6,NA,NA,NA,NA,NA,9.7,82.7,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,95.3,0.4,22.6
Djibouti,2013,Sector,Manufacturing,Manufacturing,Average,11.6,8.7,3.3,NA,0,7.3,NA,9.5,13,19.1,26.6,NA,7,NA,45.8,52.6,15.5,8.3,1.4,93.5,74.9,6,10.9,NA,5.7,NA,NA,NA,9.2,12.3,70.4,15.9,NA,18.2,NA,16,95.5,76.2,61.6,NA,NA,NA,NA,NA,9.7,82.7,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,95.3,0.4,22.6
Djibouti,2013,Sector,Services,All,Average,11,8.3,3.4,55.8,0,14.6,18.2,21.1,16.7,10.3,42.6,0.3,6.3,-2.3,37.8,NA,15.8,14.1,0.7,87.4,76.1,5.2,8.1,15,8.6,NA,NA,NA,13,16,69.9,23.3,NA,17.3,NA,44.7,94.8,NA,NA,NA,NA,NA,NA,NA,15.7,73.7,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,99.3,0,21.2
Djibouti,2013,Sector,Services,Other Services,Average,11.5,8.9,4.4,59.9,0,17.1,16.5,24.5,18.7,10.9,45.2,-0.2,6.8,NA,36.4,NA,14.7,12.9,0.9,87.3,77,5.1,7.2,30,7.8,NA,NA,NA,13.6,17.7,68.5,24.9,NA,16.5,NA,51.9,94.9,NA,NA,NA,NA,NA,NA,NA,18.4,71.8,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,99.1,0,21.5
Djibouti,2013,Sector,Services,Retail,Average,9.1,6.3,0,NA,0,10.5,23.5,NA,NA,8.1,33.3,NA,4.6,NA,43,NA,20.1,18.2,0,87.7,72.9,5.3,10.9,NA,10.1,NA,NA,NA,10.6,10.1,74.5,17.6,NA,20.2,NA,20.1,94.4,NA,NA,NA,NA,NA,NA,NA,6.3,80.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,100,0,20.1
Djibouti,2013,Size,NA,Large (100+),Average,7,1.7,0,65.9,0,0,12.2,NA,NA,11.8,19.1,NA,NA,NA,74,NA,21.4,27.9,0,76.1,37.6,4.4,NA,NA,NA,NA,NA,NA,6.5,6.5,75.8,56.2,NA,18.8,NA,307.9,97.4,NA,NA,NA,NA,NA,NA,NA,0,81.8,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,100,0,16.9
Djibouti,2013,Size,NA,Medium (20-99),Average,15.1,12.8,2.9,24.9,0,25.4,19,NA,21,17.2,42.5,NA,6.5,NA,51.3,44.4,17.6,16.4,1.9,84.8,72.6,7.3,8.8,15,7.6,NA,NA,NA,19.7,18.4,68.5,22,NA,19.2,NA,38,93,79.8,56.1,NA,NA,NA,NA,NA,19.6,73.8,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,96.9,0.1,23
Djibouti,2013,Size,NA,Small (5-19),Average,9.6,7,4,43,0,6.7,26.6,22.6,15.2,9.9,39.6,0.6,6.3,-2.8,30.3,57.5,14.4,10,0.5,91.5,81.4,4.7,10.2,10,8.5,NA,NA,NA,9.3,14.5,70.1,18,NA,16.6,NA,10.2,95.6,74.2,65.7,NA,NA,NA,NA,NA,13.6,75.7,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,99.1,0.1,21.2
Djibouti,2013,NA,NA,NA,Average,11.1,8.4,3.4,43.3,0,12.3,19.9,17.2,15.4,12.1,39.2,0.1,6.4,-3.1,39.5,52.6,15.8,12.8,0.9,88.7,75.9,5.3,8.8,15,7.7,NA,NA,NA,12.2,15.2,70,21.8,NA,17.5,NA,38.6,95,76.2,61.6,NA,NA,NA,NA,NA,14.5,75.6,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,98.5,0.1,21.5
