year,country_name,gdp_per_capita,co2_per_capita,country_code,income_level,region,capital_city,co2_per_capita_scaled
2003,Ethiopia,795.772097624193,0.0712367641405539,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,71236.76414055389
2002,Ethiopia,838.298004099301,0.0686921823988511,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,68692.1823988511
2001,Ethiopia,851.313384896172,0.0688898283988481,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,68889.8283988481
2000,Ethiopia,810.270707714513,0.0574976130925091,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,57497.6130925091
1999,Ethiopia,787.679537241639,0.0534703399384969,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,53470.339938496894
1998,Ethiopia,772.786606923592,0.0558917777363519,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,55891.7777363519
1997,Ethiopia,826.005175838681,0.0542777464708269,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,54277.7464708269
1996,Ethiopia,826.99161653733,0.0535888134781213,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,53588.8134781213
1995,Ethiopia,760.264306213613,0.0491194109007656,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,49119.4109007656
1994,Ethiopia,741.176585782026,0.0448845947497054,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,44884.5947497054
1993,Ethiopia,743.708447855693,0.0401944624028822,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,40194.4624028822
1992,Ethiopia,680.834732004134,0.0327015904945114,ETH,Low income,Sub-Saharan Africa ,Addis Ababa,32701.590494511398
2023,Faroe Islands,70373.3769321133,0.0385448404977791,FRO,High income,Europe & Central Asia,Torshavn,38544.8404977791
2022,Faroe Islands,69338.8098239515,0.038923487544484,FRO,High income,Europe & Central Asia,Torshavn,38923.487544484
2021,Faroe Islands,67757.7773227559,0.0393885398105599,FRO,High income,Europe & Central Asia,Torshavn,39388.539810559894
2020,Faroe Islands,65131.6133759936,0.0399459778204714,FRO,High income,Europe & Central Asia,Torshavn,39945.9778204714
2019,Faroe Islands,67207.832475691,0.0386137658075104,FRO,High income,Europe & Central Asia,Torshavn,38613.7658075104
2018,Faroe Islands,65294.7517477605,0.0392172242048708,FRO,High income,Europe & Central Asia,Torshavn,39217.2242048708
2017,Faroe Islands,64571.9171199037,0.0398549280618549,FRO,High income,Europe & Central Asia,Torshavn,39854.9280618549
2016,Faroe Islands,63286.5842199228,0.0404334465469837,FRO,High income,Europe & Central Asia,Torshavn,40433.4465469837
2015,Faroe Islands,63139.8057229163,0.0408989591214904,FRO,High income,Europe & Central Asia,Torshavn,40898.9591214904
2014,Faroe Islands,63151.5044266511,0.0412984224002643,FRO,High income,Europe & Central Asia,Torshavn,41298.4224002643
2013,Faroe Islands,60123.7267080971,0.0414542138208349,FRO,High income,Europe & Central Asia,Torshavn,41454.2138208349
2012,Faroe Islands,56744.6519043836,0.0414155846845168,FRO,High income,Europe & Central Asia,Torshavn,41415.584684516805
2011,Faroe Islands,52716.933935158,0.0412005850483077,FRO,High income,Europe & Central Asia,Torshavn,41200.5850483077
2010,Faroe Islands,50782.3391449341,0.0411040549150174,FRO,High income,Europe & Central Asia,Torshavn,41104.054915017405
2009,Faroe Islands,50835.9542149952,0.04099116640364,FRO,High income,Europe & Central Asia,Torshavn,40991.166403639996
2008,Faroe Islands,53528.7838011243,0.041197190351618,FRO,High income,Europe & Central Asia,Torshavn,41197.190351618
2007,Faroe Islands,,0.039274050188102,FRO,High income,Europe & Central Asia,Torshavn,39274.050188101995
2006,Faroe Islands,,0.039308989345195,FRO,High income,Europe & Central Asia,Torshavn,39308.989345195
2005,Faroe Islands,,0.0392894807584938,FRO,High income,Europe & Central Asia,Torshavn,39289.480758493795
2004,Faroe Islands,,0.0392691798941799,FRO,High income,Europe & Central Asia,Torshavn,39269.1798941799
2003,Faroe Islands,,0.0395569620253165,FRO,High income,Europe & Central Asia,Torshavn,39556.9620253165
2002,Faroe Islands,,0.0380268300411957,FRO,High income,Europe & Central Asia,Torshavn,38026.830041195695
2001,Faroe Islands,,0.0385976198134448,FRO,High income,Europe & Central Asia,Torshavn,38597.6198134448
2000,Faroe Islands,,0.0393408226603138,FRO,High income,Europe & Central Asia,Torshavn,39340.8226603138
1999,Faroe Islands,,0.0376556062552607,FRO,High income,Europe & Central Asia,Torshavn,37655.6062552607
1998,Faroe Islands,,0.038053453910552,FRO,High income,Europe & Central Asia,Torshavn,38053.453910552
1997,Faroe Islands,,0.0385216741066371,FRO,High income,Europe & Central Asia,Torshavn,38521.6741066371
1996,Faroe Islands,,0.0367140890316659,FRO,High income,Europe & Central Asia,Torshavn,36714.0890316659
1995,Faroe Islands,,0.0366888328365054,FRO,High income,Europe & Central Asia,Torshavn,36688.8328365054
1994,Faroe Islands,,0.0357989886785698,FRO,High income,Europe & Central Asia,Torshavn,35798.9886785698
1993,Faroe Islands,,0.034428592946442,FRO,High income,Europe & Central Asia,Torshavn,34428.592946442004
1992,Faroe Islands,,0.0338359379956436,FRO,High income,Europe & Central Asia,Torshavn,33835.9379956436
2023,Fiji,13652.4908672464,2.39194065866287,FJI,Upper middle income,East Asia & Pacific,Suva,2391940.65866287
2022,Fiji,12762.3465811337,2.32602656886609,FJI,Upper middle income,East Asia & Pacific,Suva,2326026.56886609
2021,Fiji,10685.1969806618,2.2123657292211,FJI,Upper middle income,East Asia & Pacific,Suva,2212365.7292211
2020,Fiji,11254.969751223,2.11462102839131,FJI,Upper middle income,East Asia & Pacific,Suva,2114621.02839131
2019,Fiji,13567.4738284912,2.09651557166419,FJI,Upper middle income,East Asia & Pacific,Suva,2096515.57166419
2018,Fiji,13612.9519955763,2.01170980614492,FJI,Upper middle income,East Asia & Pacific,Suva,2011709.80614492
2017,Fiji,13090.5006401531,1.90452556111015,FJI,Upper middle income,East Asia & Pacific,Suva,1904525.5611101498
2016,Fiji,12419.8256693304,1.73178729413403,FJI,Upper middle income,East Asia & Pacific,Suva,1731787.29413403
2015,Fiji,12131.0915617818,1.75967636934479,FJI,Upper middle income,East Asia & Pacific,Suva,1759676.36934479
2014,Fiji,11621.1294818485,1.69902515843219,FJI,Upper middle income,East Asia & Pacific,Suva,1699025.15843219
2013,Fiji,11019.2983032657,1.49778687665875,FJI,Upper middle income,East Asia & Pacific,Suva,1497786.87665875
2012,Fiji,10537.6919727534,1.31640212565498,FJI,Upper middle income,East Asia & Pacific,Suva,1316402.12565498
2011,Fiji,10412.9963189454,1.36343373249842,FJI,Upper middle income,East Asia & Pacific,Suva,1363433.73249842
2010,Fiji,10167.3495688733,1.86276868123359,FJI,Upper middle income,East Asia & Pacific,Suva,1862768.68123359
2009,Fiji,9910.17436680807,1.17157661873001,FJI,Upper middle income,East Asia & Pacific,Suva,1171576.61873001
2008,Fiji,10092.1801097642,1.42926879485144,FJI,Upper middle income,East Asia & Pacific,Suva,1429268.79485144
2007,Fiji,10050.9509498078,1.91973554072477,FJI,Upper middle income,East Asia & Pacific,Suva,1919735.54072477
2006,Fiji,10222.1983002783,2.08936784352485,FJI,Upper middle income,East Asia & Pacific,Suva,2089367.8435248502
2005,Fiji,10127.1115325,1.96106208329981,FJI,Upper middle income,East Asia & Pacific,Suva,1961062.08329981
2004,Fiji,10148.8777874439,2.26289677320481,FJI,Upper middle income,East Asia & Pacific,Suva,2262896.77320481
2003,Fiji,9727.9564693364,1.75588662404795,FJI,Upper middle income,East Asia & Pacific,Suva,1755886.6240479501
2002,Fiji,9724.10084114193,1.52392229348207,FJI,Upper middle income,East Asia & Pacific,Suva,1523922.29348207
2001,Fiji,9516.32774485866,1.86217920046705,FJI,Upper middle income,East Asia & Pacific,Suva,1862179.20046705
2000,Fiji,9426.11376159099,1.73692991750594,FJI,Upper middle income,East Asia & Pacific,Suva,1736929.91750594
1999,Fiji,9693.81255437928,1.55392701375765,FJI,Upper middle income,East Asia & Pacific,Suva,1553927.01375765
1998,Fiji,9013.45209445568,1.46693616845321,FJI,Upper middle income,East Asia & Pacific,Suva,1466936.16845321
1997,Fiji,9008.64449234114,1.49814255934021,FJI,Upper middle income,East Asia & Pacific,Suva,1498142.55934021
1996,Fiji,9306.98253675461,1.46555874738271,FJI,Upper middle income,East Asia & Pacific,Suva,1465558.74738271
1995,Fiji,8936.77814631658,1.40683020634845,FJI,Upper middle income,East Asia & Pacific,Suva,1406830.20634845
1994,Fiji,8762.41467320097,1.42607115760389,FJI,Upper middle income,East Asia & Pacific,Suva,1426071.15760389
1993,Fiji,8383.65120493804,1.37100518871565,FJI,Upper middle income,East Asia & Pacific,Suva,1371005.18871565
1992,Fiji,8261.30380903007,1.27396077652398,FJI,Upper middle income,East Asia & Pacific,Suva,1273960.77652398
2023,Finland,56454.8496937512,5.77890657641212,FIN,High income,Europe & Central Asia,Helsinki,5778906.57641212
2022,Finland,57405.5518560939,6.50702128433115,FIN,High income,Europe & Central Asia,Helsinki,6507021.284331149
2021,Finland,56739.1308987573,7.1171772257692,FIN,High income,Europe & Central Asia,Helsinki,7117177.225769199
2020,Finland,55343.3836535647,7.13709975670684,FIN,High income,Europe & Central Asia,Helsinki,7137099.75670684
2019,Finland,56838.8120639167,7.99415967021189,FIN,High income,Europe & Central Asia,Helsinki,7994159.67021189
2018,Finland,56143.6853303391,8.60023297872823,FIN,High income,Europe & Central Asia,Helsinki,8600232.97872823
2017,Finland,55555.4402790803,8.36441721400076,FIN,High income,Europe & Central Asia,Helsinki,8364417.21400076
2016,Finland,53905.274853733,8.88094796592654,FIN,High income,Europe & Central Asia,Helsinki,8880947.96592654
2015,Finland,52704.8977163037,8.38958662703067,FIN,High income,Europe & Central Asia,Helsinki,8389586.62703067
2014,Finland,52633.249418055,9.05196216725332,FIN,High income,Europe & Central Asia,Helsinki,9051962.167253321
2013,Finland,53105.2496875641,9.80464690754062,FIN,High income,Europe & Central Asia,Helsinki,9804646.907540621
2012,Finland,53878.3509970107,9.663904738315,FIN,High income,Europe & Central Asia,Helsinki,9663904.738315001
2011,Finland,54972.4629711228,10.8044100223597,FIN,High income,Europe & Central Asia,Helsinki,10804410.0223597
2010,Finland,53938.5401470841,12.2763711947305,FIN,High income,Europe & Central Asia,Helsinki,12276371.1947305
2009,Finland,52521.828701961,10.690556111957,FIN,High income,Europe & Central Asia,Helsinki,10690556.111956999
2008,Finland,57410.0689589471,11.2590264725085,FIN,High income,Europe & Central Asia,Helsinki,11259026.4725085
2007,Finland,57229.0417625547,12.8697492020754,FIN,High income,Europe & Central Asia,Helsinki,12869749.202075401
2006,Finland,54573.6404664715,13.2636242591528,FIN,High income,Europe & Central Asia,Helsinki,13263624.2591528
2005,Finland,52666.5148963661,11.101760242283,FIN,High income,Europe & Central Asia,Helsinki,11101760.242283
2004,Finland,51419.0091982681,13.474958360207,FIN,High income,Europe & Central Asia,Helsinki,13474958.360206999
2003,Finland,49582.5520573536,14.2125457556799,FIN,High income,Europe & Central Asia,Helsinki,14212545.7556799
2002,Finland,48720.7621914332,12.6373159394362,FIN,High income,Europe & Central Asia,Helsinki,12637315.9394362
2001,Finland,48028.5961788972,12.2535470261418,FIN,High income,Europe & Central Asia,Helsinki,12253547.0261418
2000,Finland,46899.79817751,11.1133843320469,FIN,High income,Europe & Central Asia,Helsinki,11113384.3320469
1999,Finland,44440.2886397485,11.4015674069795,FIN,High income,Europe & Central Asia,Helsinki,11401567.406979501
1998,Finland,42670.6279103555,11.5531431272507,FIN,High income,Europe & Central Asia,Helsinki,11553143.1272507
1997,Finland,40571.1949061613,12.2067342628703,FIN,High income,Europe & Central Asia,Helsinki,12206734.2628703
1996,Finland,38245.209989277,12.6711825551124,FIN,High income,Europe & Central Asia,Helsinki,12671182.555112401
1995,Finland,37015.1370468211,11.5018432629376,FIN,High income,Europe & Central Asia,Helsinki,11501843.2629376
1994,Finland,35647.2420542436,12.2025425615816,FIN,High income,Europe & Central Asia,Helsinki,12202542.5615816
1993,Finland,34436.0571239092,10.9276974574095,FIN,High income,Europe & Central Asia,Helsinki,10927697.457409501
1992,Finland,34875.0421072911,10.7279424481435,FIN,High income,Europe & Central Asia,Helsinki,10727942.448143499
2023,France,53969.0375681581,4.13586020525254,FRA,High income,Europe & Central Asia,Paris,4135860.2052525403
2022,France,53643.0758541719,4.56119637966729,FRA,High income,Europe & Central Asia,Paris,4561196.3796672905
2021,France,52469.8555057046,4.70830726633659,FRA,High income,Europe & Central Asia,Paris,4708307.26633659
2020,France,49266.7518990805,4.25028967719613,FRA,High income,Europe & Central Asia,Paris,4250289.67719613
2019,France,53400.2330030167,4.78988465490837,FRA,High income,Europe & Central Asia,Paris,4789884.65490837
2018,France,52513.4342005406,4.89336336861651,FRA,High income,Europe & Central Asia,Paris,4893363.368616509
2017,France,51848.6484368553,5.07106755400115,FRA,High income,Europe & Central Asia,Paris,5071067.55400115
2016,France,50937.9815036297,5.03218147372949,FRA,High income,Europe & Central Asia,Paris,5032181.47372949
2015,France,50637.073852539,5.00350933229341,FRA,High income,Europe & Central Asia,Paris,5003509.33229341
2014,France,50281.0685127993,4.94763494553714,FRA,High income,Europe & Central Asia,Paris,4947634.94553714
2013,France,50021.266181985,5.4697532037822,FRA,High income,Europe & Central Asia,Paris,5469753.2037822
2012,France,49890.4810053498,5.57648270706697,FRA,High income,Europe & Central Asia,Paris,5576482.70706697
2011,France,50040.401409083,5.57559339237044,FRA,High income,Europe & Central Asia,Paris,5575593.39237044
2010,France,49086.0049919184,5.80934663408268,FRA,High income,Europe & Central Asia,Paris,5809346.634082681
2009,France,48361.2037210884,5.72394220568724,FRA,High income,Europe & Central Asia,Paris,5723942.20568724
2008,France,50023.0310471064,5.94956753165307,FRA,High income,Europe & Central Asia,Paris,5949567.53165307
2007,France,50112.4369824141,6.09641299350843,FRA,High income,Europe & Central Asia,Paris,6096412.99350843
2006,France,49178.7453399633,6.246640527631,FRA,High income,Europe & Central Asia,Paris,6246640.527631001
2005,France,48213.8363688109,6.46027355059177,FRA,High income,Europe & Central Asia,Paris,6460273.550591771
2004,France,47677.2981420669,6.47317992840037,FRA,High income,Europe & Central Asia,Paris,6473179.92840037
2003,France,46688.7271500551,6.50351073106917,FRA,High income,Europe & Central Asia,Paris,6503510.73106917
2002,France,46568.6420826831,6.46977417478915,FRA,High income,Europe & Central Asia,Paris,6469774.17478915
2001,France,46412.8716698093,6.60551805162138,FRA,High income,Europe & Central Asia,Paris,6605518.05162138
2000,France,45880.9612432144,6.58601475170309,FRA,High income,Europe & Central Asia,Paris,6586014.75170309
1999,France,44359.9944052001,6.68018071340666,FRA,High income,Europe & Central Asia,Paris,6680180.71340666
1998,France,43123.5199028302,6.81951545857163,FRA,High income,Europe & Central Asia,Paris,6819515.4585716305
1997,France,41839.0728380355,6.47801281435356,FRA,High income,Europe & Central Asia,Paris,6478012.81435356
1996,France,40953.6805138486,6.63953130629283,FRA,High income,Europe & Central Asia,Paris,6639531.30629283
1995,France,40534.0376941978,6.41661734795351,FRA,High income,Europe & Central Asia,Paris,6416617.3479535105
1994,France,39765.4051781428,6.28748523195073,FRA,High income,Europe & Central Asia,Paris,6287485.23195073
1993,France,38985.3363066748,6.38347291937035,FRA,High income,Europe & Central Asia,Paris,6383472.9193703495
1992,France,39296.344920378,6.74514938709102,FRA,High income,Europe & Central Asia,Paris,6745149.38709102
2023,Gabon,18702.6905177984,1.98282429614748,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,1982824.29614748
2022,Gabon,18662.0497970114,2.21948232374657,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,2219482.3237465704
2021,Gabon,18523.5798032193,2.16167477727728,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,2161674.77727728
2020,Gabon,18681.4840738605,2.28611876915737,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,2286118.76915737
2019,Gabon,19491.4067631457,2.39841496208062,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,2398414.9620806198
2018,Gabon,19225.5982574739,2.37655707723754,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,2376557.07723754
2017,Gabon,19555.7078829222,2.60869766794937,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,2608697.6679493696
2016,Gabon,19988.1755963249,3.09478714054047,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3094787.14054047
2015,Gabon,20147.7116201858,3.15538202312702,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3155382.0231270203
2014,Gabon,20008.9899778779,3.16725796970176,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3167257.96970176
2013,Gabon,19836.4554851473,3.17637877347222,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3176378.77347222
2012,Gabon,19450.4027066851,3.18865941591509,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3188659.4159150897
2011,Gabon,19153.0878201005,3.26545958579898,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3265459.5857989797
2010,Gabon,18530.5760935555,3.46379018523978,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3463790.1852397798
2009,Gabon,17911.1458491175,3.2790348324101,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3279034.8324101004
2008,Gabon,18493.0921102841,3.43366466004013,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3433664.66004013
2007,Gabon,19751.8762215872,3.32526472510292,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3325264.72510292
2006,Gabon,19224.1268658447,3.78330572014079,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,3783305.72014079
2005,Gabon,20385.2899909189,4.36701184493285,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,4367011.8449328495
2004,Gabon,20438.9307066657,4.66007179189214,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,4660071.79189214
2003,Gabon,20875.454932591,5.3112453430752,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5311245.3430752
2002,Gabon,20981.4798584532,4.81126429689213,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,4811264.29689213
2001,Gabon,21604.7804441837,5.14711104018131,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5147111.04018131
2000,Gabon,21717.2240796857,5.17689318987874,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5176893.18987874
1999,Gabon,22713.7144403332,5.3016212180696,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5301621.2180696
1998,Gabon,25585.5077964118,5.7132906837793,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5713290.683779299
1997,Gabon,25359.6596581145,5.11985807138583,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5119858.071385831
1996,Gabon,24595.9719624946,5.49697703588929,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5496977.03588929
1995,Gabon,24344.1857400362,5.04855267878844,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,5048552.678788439
1994,Gabon,23794.3149295241,4.60921514177141,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,4609215.14177141
1993,Gabon,23551.6812533084,4.76620045854999,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,4766200.45854999
1992,Gabon,23268.9974720649,4.78813151254839,GAB,Upper middle income,Sub-Saharan Africa ,Libreville,4788131.512548391
2023,"Gambia, The",2932.28059517915,0.224549594213159,GMB,Low income,Sub-Saharan Africa ,Banjul,224549.594213159
2022,"Gambia, The",2863.18049829859,0.236718035858553,GMB,Low income,Sub-Saharan Africa ,Banjul,236718.035858553
2021,"Gambia, The",2777.79620978324,0.231947857345274,GMB,Low income,Sub-Saharan Africa ,Banjul,231947.857345274
2020,"Gambia, The",2702.31919474482,0.233450847128849,GMB,Low income,Sub-Saharan Africa ,Banjul,233450.847128849
2019,"Gambia, The",2750.82132179634,0.227690484214708,GMB,Low income,Sub-Saharan Africa ,Banjul,227690.484214708
2018,"Gambia, The",2651.43281455826,0.215491375344219,GMB,Low income,Sub-Saharan Africa ,Banjul,215491.375344219
2017,"Gambia, The",2533.18683710276,0.218727011355616,GMB,Low income,Sub-Saharan Africa ,Banjul,218727.011355616
2016,"Gambia, The",2478.46055756999,0.222614458817858,GMB,Low income,Sub-Saharan Africa ,Banjul,222614.458817858
2015,"Gambia, The",2495.95741601525,0.226699674402986,GMB,Low income,Sub-Saharan Africa ,Banjul,226699.67440298598
2014,"Gambia, The",2465.10971144823,0.223974926635276,GMB,Low income,Sub-Saharan Africa ,Banjul,223974.926635276
2013,"Gambia, The",2572.44728941685,0.214752212641766,GMB,Low income,Sub-Saharan Africa ,Banjul,214752.212641766
2012,"Gambia, The",2574.93509664061,0.220401019238469,GMB,Low income,Sub-Saharan Africa ,Banjul,220401.019238469
2011,"Gambia, The",2519.83983255672,0.235761554685389,GMB,Low income,Sub-Saharan Africa ,Banjul,235761.554685389
2010,"Gambia, The",2824.21259222517,0.229779459470682,GMB,Low income,Sub-Saharan Africa ,Banjul,229779.45947068202
2009,"Gambia, The",2745.32540574768,0.232496999607785,GMB,Low income,Sub-Saharan Africa ,Banjul,232496.999607785
2008,"Gambia, The",2649.61119865306,0.215804146872243,GMB,Low income,Sub-Saharan Africa ,Banjul,215804.146872243
2007,"Gambia, The",2567.15728802982,0.218544389032798,GMB,Low income,Sub-Saharan Africa ,Banjul,218544.389032798
2006,"Gambia, The",2564.68653970519,0.216000349798137,GMB,Low income,Sub-Saharan Africa ,Banjul,216000.349798137
2005,"Gambia, The",2653.64239155191,0.198735840896153,GMB,Low income,Sub-Saharan Africa ,Banjul,198735.840896153
2004,"Gambia, The",2794.19352609118,0.201071724627956,GMB,Low income,Sub-Saharan Africa ,Banjul,201071.724627956
2003,"Gambia, The",2682.47993310133,0.198147705613107,GMB,Low income,Sub-Saharan Africa ,Banjul,198147.70561310698
2002,"Gambia, The",2578.557145742,0.2003658288028,GMB,Low income,Sub-Saharan Africa ,Banjul,200365.82880279998
2001,"Gambia, The",2737.69610805906,0.198058743380483,GMB,Low income,Sub-Saharan Africa ,Banjul,198058.74338048298
2000,"Gambia, The",2658.61770579464,0.184319255795542,GMB,Low income,Sub-Saharan Africa ,Banjul,184319.255795542
1999,"Gambia, The",2589.97773860396,0.121982315036457,GMB,Low income,Sub-Saharan Africa ,Banjul,121982.315036457
1998,"Gambia, The",2502.76477124298,0.121787642149127,GMB,Low income,Sub-Saharan Africa ,Banjul,121787.642149127
1997,"Gambia, The",2486.93798396527,0.115394181295089,GMB,Low income,Sub-Saharan Africa ,Banjul,115394.18129508899
1996,"Gambia, The",2439.04551648512,0.118640551401941,GMB,Low income,Sub-Saharan Africa ,Banjul,118640.551401941
1995,"Gambia, The",2456.00078113606,0.117692375226704,GMB,Low income,Sub-Saharan Africa ,Banjul,117692.37522670401
1994,"Gambia, The",2508.1039153389,0.127115950933243,GMB,Low income,Sub-Saharan Africa ,Banjul,127115.95093324299
1993,"Gambia, The",2586.13041645703,0.114358803902841,GMB,Low income,Sub-Saharan Africa ,Banjul,114358.803902841
1992,"Gambia, The",2604.26903326754,0.113217561030114,GMB,Low income,Sub-Saharan Africa ,Banjul,113217.561030114
2023,Georgia,22590.5293543813,3.46216090882397,GEO,Upper middle income,Europe & Central Asia,Tbilisi,3462160.9088239702
2022,Georgia,20966.5280391134,3.40306887376761,GEO,Upper middle income,Europe & Central Asia,Tbilisi,3403068.87376761
2021,Georgia,18915.6534005263,3.27540507090258,GEO,Upper middle income,Europe & Central Asia,Tbilisi,3275405.07090258
2020,Georgia,17031.1440283426,3.10157959941075,GEO,Upper middle income,Europe & Central Asia,Tbilisi,3101579.59941075
2019,Georgia,18186.8816465807,3.20410863938416,GEO,Upper middle income,Europe & Central Asia,Tbilisi,3204108.63938416
2018,Georgia,17228.6790847503,2.98788503787284,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2987885.0378728397
2017,Georgia,16237.6242230275,2.99597318028629,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2995973.18028629
2016,Georgia,15442.9564358054,2.95736692506113,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2957366.92506113
2015,Georgia,14936.8434116647,2.85764061508463,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2857640.61508463
2014,Georgia,14475.3135356035,2.64482523322222,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2644825.23322222
2013,Georgia,13913.0018245661,2.46011747149019,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2460117.47149019
2012,Georgia,13193.9596974054,2.21817631810568,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2218176.31810568
2011,Georgia,12288.6828861156,2.01855958871709,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2018559.58871709
2010,Georgia,11294.3685917112,1.6617129185213,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1661712.9185213
2009,Georgia,10553.0896395853,1.69606432853863,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1696064.3285386302
2008,Georgia,10856.1031328003,1.47584130645878,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1475841.30645878
2007,Georgia,10567.2747164758,1.70840157319985,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1708401.57319985
2006,Georgia,9337.98906420101,1.46388969852438,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1463889.6985243799
2005,Georgia,8485.58670534953,1.27557707697358,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1275577.0769735798
2004,Georgia,7693.91525392067,1.09718027978224,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1097180.27978224
2003,Georgia,7227.73705960701,1.00080066077289,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1000800.6607728901
2002,Georgia,6464.32539672648,0.902899700013699,GEO,Upper middle income,Europe & Central Asia,Tbilisi,902899.700013699
2001,Georgia,6074.08643017282,0.966203190386145,GEO,Upper middle income,Europe & Central Asia,Tbilisi,966203.190386145
2000,Georgia,5706.27236527837,1.27837442554581,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1278374.42554581
1999,Georgia,5495.24505052866,1.17579366072099,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1175793.66072099
1998,Georgia,5233.28837672816,1.2926503326062,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1292650.3326062
1997,Georgia,4951.81291757472,1.39041861296996,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1390418.61296996
1996,Georgia,4339.0046688347,1.53547688747621,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1535476.88747621
1995,Georgia,3762.81153750309,1.8291130299318,GEO,Upper middle income,Europe & Central Asia,Tbilisi,1829113.0299318
1994,Georgia,3532.3200811072,2.25796699638302,GEO,Upper middle income,Europe & Central Asia,Tbilisi,2257966.9963830197
1993,Georgia,3882.02029747648,3.40988780517603,GEO,Upper middle income,Europe & Central Asia,Tbilisi,3409887.8051760304
1992,Georgia,5533.21082317728,4.29280804350056,GEO,Upper middle income,Europe & Central Asia,Tbilisi,4292808.043500559
2023,Germany,63097.7108010283,6.99988712776177,DEU,High income,Europe & Central Asia,Berlin,6999887.12776177
2022,Germany,62875.2052184608,7.87013912088698,DEU,High income,Europe & Central Asia,Berlin,7870139.120886981
2021,Germany,62474.3639990873,8.14706553835386,DEU,High income,Europe & Central Asia,Berlin,8147065.53835386
2020,Germany,60288.235014513,7.72661459979177,DEU,High income,Europe & Central Asia,Berlin,7726614.59979177
2019,Germany,62913.9179414209,8.38829767556006,DEU,High income,Europe & Central Asia,Berlin,8388297.675560059
2018,Germany,62439.1294310528,9.01281529435426,DEU,High income,Europe & Central Asia,Berlin,9012815.29435426
2017,Germany,61935.5823919125,9.37546948533168,DEU,High income,Europe & Central Asia,Berlin,9375469.485331679
2016,Germany,60523.6468527294,9.58987934583375,DEU,High income,Europe & Central Asia,Berlin,9589879.34583375
