year,country_name,gdp_per_capita,co2_per_capita,country_code,income_level,region,capital_city
1998,Curacao,,,CUW,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'LCN', 'iso2code': 'ZJ', 'value': 'Latin America & Caribbean '}",Willemstad
1997,Curacao,,,CUW,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'LCN', 'iso2code': 'ZJ', 'value': 'Latin America & Caribbean '}",Willemstad
1996,Curacao,,,CUW,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'LCN', 'iso2code': 'ZJ', 'value': 'Latin America & Caribbean '}",Willemstad
1995,Curacao,,,CUW,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'LCN', 'iso2code': 'ZJ', 'value': 'Latin America & Caribbean '}",Willemstad
1994,Curacao,,,CUW,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'LCN', 'iso2code': 'ZJ', 'value': 'Latin America & Caribbean '}",Willemstad
1993,Curacao,,,CUW,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'LCN', 'iso2code': 'ZJ', 'value': 'Latin America & Caribbean '}",Willemstad
1992,Curacao,,,CUW,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'LCN', 'iso2code': 'ZJ', 'value': 'Latin America & Caribbean '}",Willemstad
2023,Cyprus,52148.04296875,5.3408387956365,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2022,Cyprus,51622.46875,5.39692196759729,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2021,Cyprus,48740.36328125,5.24113932266461,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2020,Cyprus,44166.984375,5.2228187125791,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2019,Cyprus,46157.0234375,5.60788266775267,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2018,Cyprus,44190.98828125,5.67599747233298,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2017,Cyprus,42093.39453125,5.86944649299396,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2016,Cyprus,40176.29296875,5.836739114971,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2015,Cyprus,37871.48046875,5.62114699278886,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2014,Cyprus,36411.5859375,5.67157125014873,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2013,Cyprus,36664.1953125,5.43924925774667,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2012,Cyprus,39158.62890625,6.11019249234381,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2011,Cyprus,41179.46484375,6.67749388788244,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2010,Cyprus,42068.34375,7.01657007880718,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2009,Cyprus,42218.96484375,7.46963820038562,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2008,Cyprus,44259.62109375,7.78496571117462,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2007,Cyprus,43788.21484375,7.74512125319517,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2006,Cyprus,42560.71484375,7.59717683119977,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2005,Cyprus,41328.5859375,7.62938992482756,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2004,Cyprus,39987.5,7.65152892054525,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2003,Cyprus,38586.49609375,7.8464170309827,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2002,Cyprus,38059.89453125,7.31048255624389,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2001,Cyprus,37116.734375,7.25786125686761,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2000,Cyprus,36092.38671875,7.52595584735989,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1999,Cyprus,34424.79296875,7.38418056041768,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1998,Cyprus,33155.0859375,7.23329994707768,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1997,Cyprus,31631.177734375,7.03189061998645,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1996,Cyprus,31257.26953125,7.06755728225925,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1995,Cyprus,31367.806640625,6.79127617524154,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1994,Cyprus,29476.716796875,7.09024976706797,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1993,Cyprus,28416.16796875,6.95479847076513,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
1992,Cyprus,28908.369140625,6.7728277354842,CYP,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Nicosia
2023,Czechia,47452.3485573819,8.33141108990558,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2022,Czechia,48346.9712129599,9.3170352876533,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2021,Czechia,47752.8801472845,9.43748826835382,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2020,Czechia,45079.2013087729,8.82341119128708,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2019,Czechia,47720.4922288837,9.6799529979282,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2018,Czechia,46259.278195142,10.285949255724,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2017,Czechia,45136.7331871432,10.4182024567986,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2016,Czechia,43030.5798615586,10.392272360929,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2015,Czechia,42028.5953429958,10.267788185141,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2014,Czechia,40121.758970647,10.1880536575184,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2013,Czechia,39282.0549456002,10.416879076364,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2012,Czechia,39311.5240380137,10.8482097198259,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2011,Czechia,39672.311326423,11.2530401803034,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2010,Czechia,39062.0887760185,11.5509226772677,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2009,Czechia,38140.6750937976,11.4619047837903,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2008,Czechia,40291.9314204719,12.1444026314728,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2007,Czechia,39593.2263073374,12.849005731526,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2006,Czechia,37752.7615469003,12.7733385552459,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2005,Czechia,35503.6638485882,12.6372902110777,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2004,Czechia,33422.1376983796,12.898440448908,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2003,Czechia,31920.4502636847,12.817571673057,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2002,Czechia,30891.6333386527,12.4937383028359,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2001,Czechia,30372.4259560143,12.9418725692145,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2000,Czechia,29400.837885974,12.9022318049143,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1999,Czechia,28187.9824258475,11.6408430297573,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1998,Czechia,27776.3377030874,12.4304510823534,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1997,Czechia,27859.5634749233,13.0054538320602,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1996,Czechia,27996.3705401071,13.3196984927449,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1995,Czechia,26844.7604882652,12.9356567520908,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1994,Czechia,25256.9674372775,13.0023388780682,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1993,Czechia,24551.804374343,13.537953824134,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
1992,Czechia,24562.1335195832,13.99088856679,CZE,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Prague
2023,Denmark,71390.0024641919,4.5019532695068,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2022,Denmark,70170.2241633235,4.76729181944819,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2021,Denmark,69652.2330084663,5.01916341414232,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2020,Denmark,65145.6741742672,4.76672513171785,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2019,Denmark,66520.0708667803,5.19435981770845,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2018,Denmark,65635.4413386634,5.80885647631298,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2017,Denmark,64757.2066913092,5.82350675978061,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2016,Denmark,63242.1828680895,6.23364833511115,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2015,Denmark,61837.3607779197,5.99519695932934,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2014,Denmark,60992.2122204745,6.41524946952011,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2013,Denmark,60528.7039147183,7.18425441305433,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2012,Denmark,59946.7136740052,6.90183368827228,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2011,Denmark,60175.9703663533,7.80664894018065,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2010,Denmark,59642.4528663454,8.75259094652668,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2009,Denmark,58974.4671396133,8.77100611160953,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2008,Denmark,62394.6833898559,9.21687171357471,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2007,Denmark,63025.2888412914,9.86619274996805,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2006,Denmark,62686.5797701158,10.7814911595374,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2005,Denmark,60580.8734985136,9.34972521105533,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2004,Denmark,59347.6211150119,10.0173502823468,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2003,Denmark,57893.8557474789,11.0756479736666,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2002,Denmark,57796.6118034079,10.0959815146437,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2001,Denmark,57718.0595701961,10.2176557625117,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2000,Denmark,57380.1137881196,9.95498552704914,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1999,Denmark,55505.1996616407,10.7636722093412,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1998,Denmark,54084.3161000769,11.3605980446886,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1997,Denmark,53047.0521103967,12.1567472867976,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1996,Denmark,51632.0052532681,14.0630171644936,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1995,Denmark,50463.7289841813,11.5772370897316,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1994,Denmark,49231.6439739791,12.2338067450607,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1993,Denmark,46914.2185960173,11.5080903853581,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
1992,Denmark,47107.9500344246,11.097446131296,DNK,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Copenhagen
2023,Djibouti,6400.62016334753,0.649814735147587,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2022,Djibouti,6083.64368190087,0.658255767323076,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2021,Djibouti,5947.86088370479,0.70706926567539,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2020,Djibouti,5773.20749301878,0.664864258388618,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2019,Djibouti,5784.44800821916,0.649852256204367,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2018,Djibouti,5566.58128892774,0.670129734429723,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2017,Djibouti,5398.75077138447,0.629289153531196,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2016,Djibouti,5204.13108447602,0.711991388257924,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2015,Djibouti,4940.6316223691,0.793580009271665,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2014,Djibouti,4675.4518168801,0.883499531772175,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2013,Djibouti,4446.413425377,0.900059299935826,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2012,Djibouti,,0.835068533959764,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2011,Djibouti,,0.667223301052756,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2010,Djibouti,,0.876752618379341,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2009,Djibouti,,0.80118306972805,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2008,Djibouti,,0.907997230978096,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2007,Djibouti,,0.856118957883567,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2006,Djibouti,,0.853856904473663,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2005,Djibouti,,0.899701728023147,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2004,Djibouti,,0.957725474626085,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2003,Djibouti,,1.0080895467715,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2002,Djibouti,,0.978413070311498,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2001,Djibouti,,0.972627195444651,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
2000,Djibouti,,0.9899400255313,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
1999,Djibouti,,1.62754861105358,DJI,"{'id': 'LMC', 'iso2code': 'XN', 'value': 'Lower middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Djibouti
